*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=pcb mini - GND
*Date=22:05:47
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
148;;;75.5142;-19.2843;0;Bottom;Copper Fill79
149;;;30.1117;-7.1812;0;Bottom;Copper Fill210
150;;;45.0342;-11.6643;0;Bottom;Copper Fill219
151;10k;THT;69.6381;-26.8598;0;Bottom;D13
152;;;161.023;-93.846;0;Bottom;Copper Fill200
153;;;22.1742;-16.7443;0;Bottom;Copper Fill213
154;;;120.383;-68.1412;0;Bottom;Copper Fill163
155;;;116.628;-80.1976;0;Bottom;releTransfer
156;;;135.052;-67.5443;0;Bottom;Copper Fill181
157;;;141.122;-97.4528;0;Bottom;Via7
158;10k;THT;69.6381;-57.3398;0;Bottom;A3
159;;;20.4724;-24.3643;0;Bottom;Copper Fill115
160;;;74.6633;-48.9388;0;Bottom;Copper Fill69
161;;;73.8124;-19.2843;0;Bottom;Copper Fill78
162;;;73.8124;-24.3643;0;Bottom;Copper Fill172
163;;;28.194;-92.9443;0;Bottom;Copper Fill90
164;;;5.334;-92.9443;0;Bottom;Copper Fill206
165;;;16.7005;-52.9012;0;Bottom;Copper Fill125
166;10k;THT;26.4581;-54.7998;0;Bottom;D3
167;;THT;158.557;-96.5297;-90;Bottom;Alimentación
168;;;20.4724;-21.8243;0;Bottom;Copper Fill220
169;;;121.26;-62.4643;0;Bottom;Copper Fill58
170;;;49.4538;-24.0214;0;Bottom;Copper Fill22
171;10k;THT;26.4581;-62.4198;0;Bottom;D0
172;;[THT];55.1081;-70.3299;0;Bottom;RESET
173;;;51.8033;-71.7988;0;Bottom;Copper Fill44
174;;;39.1414;-21.7862;0;Bottom;Copper Fill28
175;;;64.5033;-91.306;0;Bottom;Copper Fill39
176;;;125.463;-7.486;0;Bottom;Copper Fill83
177;;;16.764;-52.3424;0;Bottom;Via2
178;;;53.3146;-30.6254;0;Bottom;Copper Fill131
179;;;29.6926;-92.9443;0;Bottom;Copper Fill91
180;;;22.1742;-16.7443;0;Bottom;Copper Fill108
181;;;75.5142;-24.3643;0;Bottom;Copper Fill65
182;220;THT;26.4581;-77.6598;90;Bottom;R7
183;;;39.1414;-57.3462;0;Bottom;Copper Fill7
184;;;136.195;-67.5443;0;Bottom;Copper Fill59
185;;;60.198;-39.6043;0;Bottom;Copper Fill139
186;;;38.735;-38.2962;0;Bottom;Copper Fill21
187;;;81.0514;-43.173;0;Bottom;Copper Fill18
188;;;50.9524;-72.6243;0;Bottom;Copper Fill45
189;;;14.4526;-92.9443;0;Bottom;Copper Fill99
190;;;39.1414;-49.7262;0;Bottom;Copper Fill14
191;;;26.4033;-2.5838;0;Bottom;Copper Fill204
192;10k;THT;69.6381;-24.3198;0;Bottom;D12
193;;;20.4724;-54.8443;0;Bottom;Copper Fill238
194;;;57.4548;-72.6243;0;Bottom;Copper Fill154
195;;;22.1742;-54.8443;0;Bottom;Copper Fill127
