*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=pcb GND
*Date=02:42:52
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
148;;;28.6004;-79.059;0;Bottom;Copper Fill129
149;;;39.5732;-110.492;0;Bottom;Copper Fill100
150;;;28.956;-71.6676;0;Bottom;Via10
151;;;102.921;-57.6468;0;Bottom;Copper Fill146
152;;;138.905;-11.2216;0;Bottom;Componente2
153;;;31.8516;-80.0623;0;Bottom;Copper Fill89
154;;;185.134;-100.322;0;Bottom;Hole4
155;;;51.7906;-44.4388;0;Bottom;Copper Fill13
156;;;148.514;-69.9023;0;Bottom;Copper Fill86
157;;THT;6.24452;-49.5222;180;Bottom;Sensor corte
158;;;31.8516;-74.9823;0;Bottom;Copper Fill65
159;;;134.252;-80.6338;0;Bottom;Copper Fill186
160;10k;THT;37.8144;-34.282;0;Bottom;D8
161;;;61.3664;-110.492;0;Bottom;Copper Fill85
162;;;94.488;-72.4423;0;Bottom;Copper Fill159
163;;;27.6733;-69.407;0;Bottom;Copper Fill47
164;;;119.012;-70.8548;0;Bottom;Copper Fill182
165;;;149.441;-68.9752;0;Bottom;Copper Fill208
166;;;164.16;-80.0623;0;Bottom;Copper Fill88
167;;;192.278;-6.4023;0;Bottom;Copper Fill230
168;;;52.9336;-37.0982;0;Bottom;Copper Fill20
169;;300 mil [THT];115.259;-69.842;0;Bottom;diode1
170;;;119.939;-69.9023;0;Bottom;Copper Fill185
171;10k;THT;88.6144;-39.362;0;Bottom;D11
172;;;118.466;-80.0623;0;Bottom;Copper Fill51
173;10k;THT;37.8144;-39.362;0;Bottom;D6
174;;;192.672;-25.8206;0;Bottom;Copper Fill103
175;;;92.8116;-77.5223;0;Bottom;Copper Fill164
176;10k;THT;37.8144;-72.382;0;Bottom;D3
177;;5 mm [THT];9.87442;-108.593;0;Bottom;WAITING
178;1µF;200 mil [THT, electrolytic];180.054;-107.942;-90;Bottom;100uF
179;;;193.573;-102.922;0;Bottom;Copper Fill119
180;;;51.7906;-67.2988;0;Bottom;Copper Fill9
181;;;31.8516;-41.9623;0;Bottom;Copper Fill173
182;;;14.3256;-74.2838;0;Bottom;Copper Fill131
183;;;51.7906;-72.3788;0;Bottom;Copper Fill5
184;;;75.9206;-67.2988;0;Bottom;Copper Fill10
185;;;70.8025;-111.241;0;Bottom;Copper Fill191
186;10k;THT;37.8144;-41.902;0;Bottom;D5
187;;;94.488;-77.5223;0;Bottom;Copper Fill39
188;;;7.3025;-8.828;0;Bottom;Copper Fill216
189;;5 mm [THT];60.6746;-108.593;0;Bottom;TRANSFER
190;;;130.524;-92.6998;0;Bottom;releStarter
191;;;50.4825;-111.241;0;Bottom;Copper Fill219
192;;;51.7906;-69.8388;0;Bottom;Copper Fill7
193;;TO92 [THT];55.4039;-16.4131;0;Bottom;MCP9701 AUX
194;;THT;196.384;-49.5029;0;Bottom;Transfer
195;;;102.133;-24.1823;0;Bottom;Copper Fill149
196;;;75.9206;-46.9788;0;Bottom;Copper Fill11
197;;;62.5094;-22.29;0;Bottom;Copper Fill26
198;;;31.8516;-36.8823;0;Bottom;Copper Fill60
199;;;148.92;-80.0623;0;Bottom;Copper Fill74
200;10k;THT;88.6144;-74.922;0;Bottom;A2
201;;;165.633;-69.9023;0;Bottom;Copper Fill223
202;;;67.183;-60.8726;0;Bottom;Copper Fill138
203;;;112.471;-46.0644;0;Bottom;Via15
204;;;164.681;-68.9752;0;Bottom;Copper Fill221
205;10k;THT;88.6144;-41.902;0;Bottom;D12
206;;;72.4916;-92.7623;0;Bottom;Copper Fill201
207;;;192.634;-72.455;0;Bottom;Copper Fill133
208;;;20.0025;-111.241;0;Bottom;Copper Fill111
209;;;119.062;-80.6338;0;Bottom;Copper Fill50
210;;;149.492;-80.6338;0;Bottom;Copper Fill197
211;;;67.4116;-59.7423;0;Bottom;Copper Fill27
212;;;150.393;-69.9023;0;Bottom;Copper Fill87
213;10k;THT;37.8144;-80.002;0;Bottom;D0
214;;;94.488;-69.9023;0;Bottom;Copper Fill157
215;;;119.939;-69.9023;0;Bottom;Copper Fill58
216;;;33.528;-74.9823;0;Bottom;Copper Fill189
217;;;89.4588;-108.002;0;Bottom;Copper Fill176
218;;;65.1256;-44.9722;0;Bottom;Copper Fill143
219;;;92.8116;-82.6023;0;Bottom;Copper Fill168
220;10k;THT;37.8144;-77.462;0;Bottom;D1
221;;;94.488;-80.0623;0;Bottom;Copper Fill41
222;;;74.676;-50.9412;0;Bottom;Via8
223;;;33.528;-41.9623;0;Bottom;Copper Fill46
224;22k;THT;20.0344;-36.822;90;Bottom;22k
225;;;31.8516;-36.8823;0;Bottom;Copper Fill180
226;;;139.332;-8.828;0;Bottom;Copper Fill224
227;;;74.168;-92.7623;0;Bottom;Copper Fill202
228;;;190.214;-6.34199;0;Top;Pad1
229;;;119.012;-68.9752;0;Bottom;Copper Fill56
230;;;9.8425;-43.6006;0;Bottom;Copper Fill233
231;;;90.5256;-47.8932;0;Bottom;Via16
232;;;69.088;-29.2623;0;Bottom;Copper Fill153
233;;;64.3128;-52.77;0;Bottom;Via12
234;;;31.8516;-77.5223;0;Bottom;Copper Fill76
235;;;134.201;-70.8548;0;Bottom;Copper Fill193
236;;;7.3025;-3.9766;0;Bottom;Copper Fill217
237;;;64.3128;-47.2836;0;Bottom;Via11
238;;;46.9392;-71.312;0;Bottom;Copper Fill1
239;;5 mm [THT];40.3546;-108.593;0;Bottom;ENG ON
240;;;7.33442;-6.34199;0;Top;Pad2
241;;;20.0025;-111.241;0;Bottom;Copper Fill236
242;;;9.8425;-45.404;0;Bottom;Copper Fill109
243;;;179.972;-104.611;0;Bottom;Copper Fill241
244;;;193.573;-26.7223;0;Bottom;Copper Fill105
245;;;190.214;-16.502;0;Bottom;Hole1
246;;;193.573;-26.7223;0;Bottom;Copper Fill228
247;;5 mm [THT];50.5146;-108.593;0;Bottom;FAN ON
248;;THT;196.384;-31.7418;0;Bottom;Servo
249;;;72.4916;-92.7623;0;Bottom;Copper Fill71
250;;;33.528;-36.8823;0;Bottom;Copper Fill181
251;;;179.972;-104.611;0;Bottom;Copper Fill121
252;;;75.9206;-72.3788;0;Bottom;Copper Fill6
