*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=pcb mini - GND
*Date=22:19:48
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
240;;;22.1743;-59.9243;0;Bottom;Copper Fill129
241;100nF;100 mil [THT, multilayer];59.4781;-38.2898;90;Bottom;100nF
242;;;22.1743;-57.3843;0;Bottom;Copper Fill128
243;;;45.8725;-39.6044;0;Bottom;Copper Fill240
244;;;22.1743;-24.3644;0;Bottom;Copper Fill223
245;;;50.5715;-44.2906;0;Bottom;Copper Fill20
246;;;136.195;-67.5443;0;Bottom;Copper Fill59
247;;;14.5543;-4.04438;0;Bottom;Copper Fill106
248;;;20.4725;-42.1444;0;Bottom;Copper Fill122
249;;;20.4725;-59.9243;0;Bottom;Copper Fill243
250;;;21.3234;-93.6936;0;Bottom;Copper Fill199
251;;;73.8125;-26.9044;0;Bottom;Copper Fill51
252;;;120.333;-61.5372;0;Bottom;Copper Fill176
253;;;59.1567;-72.6243;0;Bottom;Copper Fill155
254;;;135.623;-66.9728;0;Bottom;Copper Fill180
255;;;51.8034;-71.7988;0;Bottom;Copper Fill152
256;10k;THT;69.6381;-49.7198;0;Bottom;A0
257;;;28.1941;-92.9443;0;Bottom;Copper Fill90
258;10k;THT;13.7581;-9.07979;90;Bottom;10k
259;;;73.8125;-21.8244;0;Bottom;Copper Fill187
260;;;105.093;-63.4168;0;Bottom;Copper Fill168
261;;;75.5143;-21.8244;0;Bottom;Copper Fill188
262;;;44.1834;-10.8389;0;Bottom;Copper Fill218
263;;;89.9034;-68.1412;0;Bottom;Copper Fill143
264;220;THT;26.4581;-77.6598;90;Bottom;R7
265;;;115.358;-3.99992;0;Top;Pad1
266;;;22.1743;-21.8244;0;Bottom;Copper Fill114
267;;;39.1415;-21.7863;0;Bottom;Copper Fill28
268;;;20.4725;-24.3644;0;Bottom;Copper Fill115
269;;;73.8125;-49.7643;0;Bottom;Copper Fill70
270;10k;THT;46.7781;-67.4998;-90;Bottom;RESET 10k
271;;TO92 [THT];51.6676;-11.5309;0;Bottom;MCP9701 TEMP
272;;;16.7006;-52.9012;0;Bottom;Copper Fill232
273;10k;THT;69.6381;-21.7798;0;Bottom;D11
274;;;119.38;-62.4643;0;Bottom;Copper Fill177
275;;;119.38;-62.4643;0;Bottom;Copper Fill57
276;;;21.3234;-93.6936;0;Bottom;Copper Fill92
277;;THT;2.50821;-14.1788;180;Bottom;Sensor voltaje
278;;;28.9434;-93.6936;0;Bottom;Copper Fill196
279;;;120.383;-66.9728;0;Bottom;Copper Fill164
280;;;14.4527;-92.9443;0;Bottom;Copper Fill99
281;;;73.8125;-16.7444;0;Bottom;Copper Fill87
282;;;75.8952;-29.1775;0;Bottom;Via6
283;;;39.1415;-49.7262;0;Bottom;Copper Fill14
284;;;131.868;-80.1976;0;Bottom;releFan
285;;;51.8034;-71.7988;0;Bottom;Copper Fill44
286;;;64.5582;-77.6598;0;Top;Pad5
287;;;12.8525;-4.04438;0;Bottom;Copper Fill209
288;;;141.122;-89.2232;0;Bottom;Copper Fill2
289;;;58.3058;-73.4752;0;Bottom;Copper Fill47
290;;;75.5143;-19.2844;0;Bottom;Copper Fill192
291;;;82.7024;-49.4976;0;Bottom;Copper Fill31
292;;;75.5143;-59.9243;0;Bottom;Copper Fill148
293;;;75.5143;-21.8244;0;Bottom;Copper Fill72
294;;;5.1816;-26.9044;0;Bottom;Copper Fill118
295;;;6.0833;-27.8061;0;Bottom;Copper Fill116
296;;;6.985;-26.9044;0;Bottom;Copper Fill226
297;220;THT;18.8381;-77.6598;90;Bottom;R4
298;;;105.093;-61.5372;0;Bottom;Copper Fill53
299;;300 mil [THT];101.363;-62.4198;0;Bottom;diode2
300;220;THT;23.9181;-77.6598;90;Bottom;R6
301;;;121.26;-62.4643;0;Bottom;Copper Fill178
302;;;65.3797;-90.4043;0;Bottom;Copper Fill149
303;;;5.1816;-11.6644;0;Bottom;Copper Fill110
304;;;55.1943;-11.6644;0;Bottom;Copper Fill121
305;;;70.4197;-6.24187;0;Bottom;IMG1
306;;;20.4725;-57.3843;0;Bottom;Copper Fill241
307;;;33.2741;-35.3372;0;Bottom;Copper Fill230
308;;;29.6927;-92.9443;0;Bottom;Copper Fill91
309;;;161.023;-93.846;0;Bottom;Copper Fill200
310;220;THT;8.67811;-77.6598;90;Bottom;R2
311;;;77.893;-58.499;-90;Bottom;TXT1
312;;;44.1834;-93.6936;0;Bottom;Copper Fill189
313;;;63.2881;-90.3598;-90;Bottom;SPEAKER
314;;;90.7797;-59.9243;0;Bottom;Copper Fill141
315;;;59.4615;-53.5362;0;Bottom;Copper Fill13
316;;;30.1752;-6.6223;0;Bottom;Via4
317;;[THT];55.1081;-70.3299;0;Bottom;RESET
318;;;75.5143;-16.7444;0;Bottom;Copper Fill88
319;;;134.62;-62.4643;0;Bottom;Copper Fill62
320;;;6.0833;-93.6936;0;Bottom;Copper Fill205
321;;;161.023;-92.0426;0;Bottom;Copper Fill95
322;;;120.383;-68.1412;0;Bottom;Copper Fill163
323;;dip;50.5881;-40.8298;0;Bottom;ATMega 328P
324;;;64.5034;-91.306;0;Bottom;Copper Fill39
325;;;26.4034;-2.58388;0;Bottom;Copper Fill204
326;;;104.14;-62.4643;0;Bottom;Copper Fill170
327;;;75.8191;-56.127;0;Bottom;Copper Fill11
